Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2019-07-14,2.7075,True,False,False,False,True,True
2019-07-15,2.6935,True,False,False,False,True,True
2019-07-16,2.71,True,False,False,False,True,True
2019-07-17,2.704,True,False,False,False,True,True
2019-07-18,2.7445,True,False,False,False,True,True
2019-07-21,2.7145,True,False,False,False,True,True
2019-07-22,2.694,True,False,False,False,True,True
2019-07-23,2.704,True,False,False,False,True,True
2019-07-24,2.6955,True,False,False,False,True,True
2019-07-25,2.6765,True,False,False,False,True,True
2019-07-28,2.7095,True,False,False,False,True,True
2019-07-29,2.6705,True,False,False,False,True,True
2019-07-30,2.658,True,False,False,False,True,True
2019-07-31,2.66,True,False,False,False,True,True
2019-08-01,2.565,True,False,False,False,True,True
2019-08-04,2.537,True,False,False,False,True,True
2019-08-05,2.551,True,False,False,False,True,True
2019-08-06,2.565,True,False,False,False,True,True
2019-08-07,2.602,True,False,False,False,True,True
2019-08-08,2.584,True,False,False,False,True,True
2019-08-11,2.58,True,False,False,False,True,True
2019-08-12,2.6245,True,False,False,False,True,True
2019-08-13,2.5865,True,False,False,False,True,True
2019-08-14,2.5895,True,False,False,False,True,True
2019-08-15,2.59,True,False,False,False,True,True
2019-08-18,2.597,True,False,False,False,True,True
2019-08-19,2.574,True,False,False,False,True,True
2019-08-20,2.5815,True,False,False,False,True,True
2019-08-21,2.5535,True,False,False,False,True,True
2019-08-22,2.526,True,False,False,False,True,True
2019-08-25,2.54,True,False,False,False,True,True
2019-08-26,2.5435,True,False,False,False,True,True
2019-08-27,2.551,True,False,False,False,True,True
2019-08-28,2.5595,True,False,False,False,True,True
2019-08-29,2.533,True,False,False,False,True,True
2019-09-02,2.5125,True,False,False,False,True,True
2019-09-03,2.579,True,False,False,False,True,True
2019-09-04,2.6245,True,False,False,False,True,True
2019-09-05,2.6155,True,False,False,False,True,True
2019-09-08,2.6105,True,False,False,False,True,True
2019-09-09,2.6105,True,False,False,False,True,True
2019-09-10,2.5975,True,False,False,False,True,True
2019-09-11,2.6235,True,False,False,False,True,True
2019-09-12,2.681,True,False,False,False,True,True
2019-09-15,2.621,True,False,False,False,True,True
2019-09-16,2.6095,True,False,False,False,True,True
2019-09-17,2.5955,True,False,False,False,True,True
2019-09-18,2.591,True,False,False,False,True,True
2019-09-19,2.59,True,False,False,False,True,True
2019-09-22,2.5945,True,False,False,False,True,True
2019-09-23,2.5895,True,False,False,False,True,True
2019-09-24,2.595,True,False,False,False,True,True
2019-09-25,2.56,True,False,False,False,True,True
2019-09-26,2.583,True,False,False,False,True,True
2019-09-29,2.5645,True,False,False,False,True,True
2019-09-30,2.552,True,False,False,False,True,True
2019-10-01,2.5615,True,False,False,False,True,True
2019-10-02,2.5455,True,False,False,False,True,True
2019-10-03,2.5555,True,False,False,False,True,True
2019-10-06,2.572,True,False,False,False,True,True
2019-10-07,2.5635,True,False,False,False,True,True
2019-10-08,2.562,True,False,False,False,True,True
2019-10-09,2.605,True,False,False,False,True,True
2019-10-10,2.6185,True,False,False,False,True,True
2019-10-13,2.6235,True,False,False,False,True,True
2019-10-14,2.604,True,False,False,False,True,True
2019-10-15,2.5795,True,False,False,False,True,True
2019-10-16,2.587,True,False,False,False,True,True
2019-10-17,2.625,True,False,False,False,True,True
2019-10-20,2.635,True,False,False,False,True,True
2019-10-21,2.622,True,False,False,False,True,True
2019-10-22,2.6625,True,False,False,False,True,True
2019-10-23,2.659,True,False,False,False,True,True
2019-10-24,2.6665,True,False,False,False,True,True
2019-10-27,2.6725,True,False,False,False,True,True
2019-10-28,2.6825,True,False,False,False,True,True
2019-10-29,2.6805,True,False,False,False,True,True
2019-10-30,2.633,True,False,False,False,True,True
2019-10-31,2.651,True,False,False,False,True,True
2019-11-04,2.667,True,False,False,False,True,True
2019-11-05,2.695,True,False,False,False,True,True
2019-11-06,2.661,True,False,False,False,True,True
2019-11-07,2.724,True,False,False,False,True,True
2019-11-08,2.678,True,False,False,False,True,True
2019-11-11,2.66,True,False,False,False,True,True
2019-11-12,2.642,True,False,False,False,True,True
2019-11-13,2.6365,True,False,False,False,True,True
2019-11-14,2.6185,True,False,False,False,True,True
2019-11-15,2.635,True,False,False,False,True,True
2019-11-18,2.6175,True,False,False,False,True,True
2019-11-19,2.6535,True,False,False,False,True,True
2019-11-20,2.6465,True,False,False,False,True,True
2019-11-21,2.621,True,False,False,False,True,True
2019-11-22,2.6475,True,False,False,False,True,True
2019-11-25,2.6475,True,False,False,False,True,True
2019-11-26,2.6745,True,False,False,False,True,True
2019-11-27,2.6745,True,False,False,False,True,True
2019-11-29,2.642,True,False,False,False,True,True
2019-12-02,2.6325,True,False,False,False,True,True
2019-12-03,2.608,True,False,False,False,True,True
2019-12-04,2.644,True,False,False,False,True,True
2019-12-05,2.6485,True,False,False,False,True,True
2019-12-06,2.711,True,False,False,False,True,True
2019-12-09,2.7465,True,False,False,False,True,True
2019-12-10,2.7555,True,False,False,False,True,True
2019-12-11,2.7825,True,False,False,False,True,True
2019-12-12,2.7895,True,False,False,False,True,True
2019-12-13,2.7805,True,False,False,False,True,True
2019-12-16,2.8205,True,False,False,False,True,True
2019-12-17,2.8195,True,False,False,False,True,True
2019-12-18,2.817,True,False,False,False,True,True
2019-12-19,2.8315,True,False,False,False,True,True
2019-12-20,2.811,True,False,False,False,True,True
2019-12-23,2.817,True,False,False,False,True,True
2019-12-24,2.8385,True,False,False,False,True,True
2019-12-26,2.8645,True,False,False,False,True,True
2019-12-27,2.8365,True,False,False,False,True,True
2019-12-30,2.8275,True,False,False,False,True,True
2019-12-31,2.794,True,False,False,False,True,True
2020-01-02,2.833,True,False,False,False,True,True
2020-01-03,2.7985,True,False,False,False,True,True
2020-01-06,2.8005,True,False,False,False,True,True
2020-01-07,2.804,True,False,False,False,True,True
2020-01-08,2.819,True,False,False,False,True,True
2020-01-09,2.8105,True,False,False,False,True,True
2020-01-10,2.8185,True,False,False,False,True,True
2020-01-13,2.8615,True,False,False,False,True,True
2020-01-14,2.876,True,False,False,False,True,True
2020-01-15,2.87,True,False,False,False,True,True
2020-01-16,2.852,True,False,False,False,True,True
2020-01-17,2.8495,True,False,False,False,True,True
2020-01-21,2.7985,True,False,False,False,True,True
2020-01-22,2.767,True,False,False,False,True,True
2020-01-23,2.726,True,False,False,False,True,True
2020-01-24,2.6855,True,False,False,False,True,True
2020-01-27,2.5965,True,False,False,False,True,True
2020-01-28,2.5795,True,False,False,False,True,True
2020-01-29,2.5535,True,False,False,False,True,True
2020-01-30,2.5235,True,False,False,False,True,True
2020-01-31,2.52,True,False,False,False,True,True
2020-02-03,2.513,True,False,False,False,True,True
2020-02-04,2.5475,True,False,False,False,True,True
2020-02-05,2.579,True,False,False,False,True,True
2020-02-06,2.5985,True,False,False,False,True,True
2020-02-07,2.559,True,False,False,False,True,True
2020-02-10,2.5575,True,False,False,False,True,True
2020-02-11,2.5885,True,False,False,False,True,True
