,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 29, 2023","20,450.00","20,450.00","20,700.00","20,200.00",,-0.24%
1,"Dec 28, 2023","20,500.00","20,500.00","20,750.00","20,250.00",,-0.24%
2,"Dec 27, 2023","20,550.00","20,550.00","20,800.00","20,300.00",,0.00%
3,"Dec 26, 2023","20,550.00","20,550.00","20,800.00","20,300.00",,0.00%
4,"Dec 25, 2023","20,550.00","20,550.00","20,800.00","20,300.00",,-0.24%
5,"Dec 22, 2023","20,600.00","20,600.00","20,850.00","20,350.00",,0.00%
6,"Dec 21, 2023","20,600.00","20,600.00","20,850.00","20,350.00",,0.00%
7,"Dec 20, 2023","20,600.00","20,600.00","20,850.00","20,350.00",,0.00%
8,"Dec 19, 2023","20,600.00","20,600.00","20,850.00","20,350.00",,-0.24%
9,"Dec 18, 2023","20,650.00","20,650.00","20,900.00","20,400.00",,0.00%
10,"Dec 15, 2023","20,650.00","20,650.00","20,900.00","20,400.00",,-0.24%
11,"Dec 14, 2023","20,700.00","20,700.00","20,950.00","20,450.00",,0.00%
12,"Dec 13, 2023","20,700.00","20,700.00","20,950.00","20,450.00",,-0.24%
13,"Dec 12, 2023","20,750.00","20,750.00","21,000.00","20,500.00",,0.00%
14,"Dec 11, 2023","20,750.00","20,750.00","21,000.00","20,500.00",,0.00%
15,"Dec 08, 2023","20,750.00","20,750.00","21,000.00","20,500.00",,0.00%
16,"Dec 07, 2023","20,750.00","20,750.00","21,000.00","20,500.00",,0.00%
17,"Dec 06, 2023","20,750.00","20,750.00","21,000.00","20,500.00",,0.24%
18,"Dec 05, 2023","20,700.00","20,700.00","20,950.00","20,450.00",,0.00%
19,"Dec 04, 2023","20,700.00","20,700.00","20,950.00","20,450.00",,0.00%
20,"Dec 01, 2023","20,700.00","20,700.00","20,950.00","20,450.00",,-0.48%
21,"Nov 30, 2023","20,800.00","20,800.00","21,050.00","20,550.00",,-0.48%
22,"Nov 29, 2023","20,900.00","20,900.00","21,150.00","20,650.00",,0.00%
23,"Nov 28, 2023","20,900.00","20,900.00","21,150.00","20,650.00",,0.48%
24,"Nov 27, 2023","20,800.00","20,800.00","21,050.00","20,550.00",,0.24%
