,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.8140161725067385,0.8788819875776398,0.9041533546325878,0.8913385826771654,0.3877551020408163,0.3275862068965517,0.35514018691588783,0.16
1,LSTM,128 layers,0.8463611859838275,0.878698224852071,0.9488817891373802,0.9124423963133642,0.5151515151515151,0.29310344827586204,0.3736263736263736,0.16
2,LSTM,64 layers,0.8247978436657682,0.8875,0.9073482428115016,0.8973143759873617,0.43137254901960786,0.3793103448275862,0.40366972477064217,0.16
3,LSTM,32 layers,0.8382749326145552,0.8844984802431611,0.9297124600638977,0.9065420560747663,0.47619047619047616,0.3448275862068966,0.39999999999999997,0.16
4,CNN with Attention,"32 filters, kernel size 7",0.8867924528301887,0.9195046439628483,0.9488817891373802,0.9339622641509433,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.16
5,CNN with Attention,"32 filters, kernel size 5",0.9272237196765498,0.9525316455696202,0.9616613418530351,0.9570747217806042,0.7818181818181819,0.7413793103448276,0.7610619469026548,0.16
6,CNN with Attention,"32 filters, kernel size 3",0.8787061994609164,0.911042944785276,0.9488817891373802,0.9295774647887323,0.6444444444444445,0.5,0.5631067961165049,0.16
7,CNN with Attention,"64 filters, kernel size 7",0.7951482479784366,0.8454810495626822,0.9265175718849841,0.8841463414634148,0.17857142857142858,0.08620689655172414,0.11627906976744189,0.16
8,CNN with Attention,"64 filters, kernel size 5",0.876010781671159,0.9107692307692308,0.9456869009584664,0.9278996865203761,0.6304347826086957,0.5,0.5576923076923076,0.16
9,CNN with Attention,"64 filters, kernel size 3",0.8517520215633423,0.8505434782608695,1.0,0.9192364170337738,1.0,0.05172413793103448,0.09836065573770492,0.16
10,CNN with Attention,"128 filters, kernel size 7",0.862533692722372,0.8742857142857143,0.9776357827476039,0.923076923076923,0.6666666666666666,0.2413793103448276,0.35443037974683544,0.16
11,CNN with Attention,"128 filters, kernel size 5",0.8328840970350404,0.8861538461538462,0.9201277955271565,0.90282131661442,0.45652173913043476,0.3620689655172414,0.4038461538461538,0.16
12,CNN with Attention,"128 filters, kernel size 3",0.8194070080862533,0.8575581395348837,0.9424920127795527,0.8980213089802132,0.3333333333333333,0.15517241379310345,0.21176470588235294,0.16
13,CNN with Attention,"256 filters, kernel size 7",0.8005390835579514,0.8545994065281899,0.9201277955271565,0.8861538461538461,0.2647058823529412,0.15517241379310345,0.1956521739130435,0.16
14,CNN with Attention,"256 filters, kernel size 5",0.8247978436657682,0.848314606741573,0.9648562300319489,0.9028400597907325,0.26666666666666666,0.06896551724137931,0.10958904109589042,0.16
15,CNN with Attention,"256 filters, kernel size 3",0.8274932614555256,0.8507042253521127,0.9648562300319489,0.904191616766467,0.3125,0.08620689655172414,0.13513513513513514,0.16
16,RNN,256 units,0.8436657681940701,0.8436657681940701,1.0,0.915204678362573,0.0,0.0,0.0,0.16
17,RNN,128 units,0.5363881401617251,0.8051948051948052,0.5942492012779552,0.6838235294117647,0.09285714285714286,0.22413793103448276,0.13131313131313133,0.16
18,RNN,64 units,0.15633423180592992,0.0,0.0,0.0,0.15633423180592992,1.0,0.2703962703962704,0.16
19,RNN,32 units,0.7816711590296496,0.8515151515151516,0.8977635782747604,0.8740279937791602,0.21951219512195122,0.15517241379310345,0.18181818181818182,0.16
20,CNN,"32 filters, kernel size 7",0.9083557951482479,0.9428571428571428,0.9488817891373802,0.945859872611465,0.7142857142857143,0.6896551724137931,0.7017543859649122,0.16
