0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
476,2020-07-21 00:00:00,74020012,"SPENT COPPER ANODES | CODELCO | ANODES | COPPER ANODES | REFINED 99,440% CU | 1002,430G / TM AG | 3,780 G / TM AU",,,EMPRESA CL202007 009555,667985,KGS,-,3789956.89,Chile,China,Shanghai,667985,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",669200,,,,Chile T2  Export
477,2020-07-17 00:00:00,74020012,"CODELCO F | SPENT COPPER ANODES | COVERED ANODES | PAYABLE ELEMENTS CU99.68% | AU 2,450 G / T | AG 255.00 G / T | BML M + 2 PENALTIES DOES NOT EXIST | 0% HUMIDITY",,,EMPRESA CL202007 009555,499808,KGS,-,2670666.56,Chile,China,Chongqing,499808,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",500125,,,,Chile T2  Export
478,2020-06-03 00:00:00,74020019,"COPPER ANODE | SOUTH AMERICAN ANGLO | ANODBME01 | CU 99.68% | AG209.000 GR / MT | AU 1,700 GR / MT, PENALTIES DO NOT EXIST | 0% MOISTURE | 1907790 NET KILO",,,ANGLO AMERICAN SUR S A,1907790,KGS,-,9426357.12,Chile,China,Shanghai,1907790,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1908585,,,,Chile T2  Export
479,2020-08-14 00:00:00,74020012,"CODELCO F | SPENT COPPER ANODES | COVERED ANODES | PAYABLE ELEMENTS, CU99.45% | AU 2,600G / T | AG 231.00 G / T | BML M + 2 PENALTIES DOES NOT EXIST | 0% HUMIDITY",,,EMPRESA CL202008 000037,999677,KGS,-,6506068.44,Chile,China,Chongqing,999677,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1000236,,,,Chile T2  Export
480,2020-08-17 00:00:00,74020019,"COPPER ANODE | SOUTH AMERICAN ANGLO | ANODBME01 | CU 99.66% | AG 191,000 GR / MT | AU 1,700 GR / MT, PENALTIES DO NOT EXIST | 0% MOISTURE | 2270 TONS",,,EMPRESA CL202008 001664,2270430,KGS,-,12802859.9,Chile,China,Shanghai,2270430,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",2271380,,,,Chile T2  Export
481,2020-04-23 00:00:00,74020019,"COPPER ANODE | SOUTH AMERICAN ANGLO | ANODBME01 | CU 99.64% | AG | 194,000 GR / MT | AU 1,700 GR / MT, | PENALTIES DO NOT EXIST | 0% MOISTURE | 2401860 NET KILO",,,EMPRESA CL202004 000041,2401860,KGS,-,12151949.55,Chile,China,Shanghai,2401860,KGS,-,-,San Antonio,-,-,-,-,-,-,-,OTHERS,2402862,,,,Chile T2  Export
482,2020-12-17 00:00:00,7402001000,COPPER BLISTER,Z To Order and NA,,FUNDAMETZ SA,100000,KGS,-,639587,Ecuador,China,Not Available,100000,KGS,-,-,Ningbo Lishe International Apt,-,-,CEC2020ONEU0088,-,-,-,-,Cobre «blister» sin refinar,0,,,,Ecuador T3+  Export
483,2020-01-16 00:00:00,74020019,"COPPER ANODE | SOUTH AMERICAN ANGLO | ANODBME01 | CU 99.66% | AG 202,000 GR / MT | AU 1,700 GR / MT, PENALTIES DO NOT EXIST | 0% MOISTURE | 1809240 NET KILO",,,ANGLO AMERICAN SUR S A,1809240,KGS,-,10694841.61,Chile,China,Shanghai,1809240,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1809995,,,,Chile T2  Export
484,2020-01-15 00:00:00,74020012,"""CODELCO-F | SPENT COPPER ANODES | COVER ANODES | CU99.696% | AU 2,600G / T | AG 230.00 G / T | BML M + 2 | P ENALYABLE DOES NOT EXIST | 0% HUMIDITY | CCB419272""",,,CODELCO CHILE,499813,KGS,-,2913504.42,Chile,China,Chongqing,499813,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",500078,,,,Chile T2  Export
485,2020-03-23 00:00:00,74020012,"SPENT COPPER NODES | CODELCO | ANODES | COB ANODES | REFINED 99.44% CU | 858.00 G / T | M AG | 3,400 G / TM AU",,,EMPRESA CL202003 001415,1000487,KGS,-,6347373.29,Chile,China,Chongqing,1000487,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1002110,,,,Chile T2  Export
486,2020-02-10 00:00:00,74020013,CU 99.425% | AG830408 ??G / MT | COVER ANODE | AU 5.418 G / MT | HUMIDITY00.0000% | PENALTIES | BI 58.481% | PAYABLE | DOES NOT EXIST,,,EMPRESA CL202002 010065,861157,KGS,-,59717202.21,Chile,Canada,Canada,861157,KGS,-,-,Antofagasta,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",861474,,,,Chile T2  Export
487,2020-03-03 00:00:00,74020012,CODELCO-F | SPENT COPPER ANODES | COVERED ANODE | CU99.68% | AU 2.450G / T | AG 255.00 G / T | BML M + 2 | PENALTIES DO NOT EXIST | 0% HUMIDITY | CCB419272,,,EMPRESA CL202003 001415,374799,KGS,-,2286715.11,Chile,China,Chongqing,374799,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",374977,,,,Chile T2  Export
488,2020-09-07 00:00:00,74020013,"CODELCO-F | CU9971% | ANODODECOBRE | AU 1,950 G / T | AG 218.00 G / T | BLM + 2 PENALTIES DOES NOT EXIST | 0% HUM DAD.",,,EMPRESA CL202009 008628,500328,KGS,-,3182769.34,Chile,China,Chongqing,500328,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",500629,,,,Chile T2  Export
489,2020-10-26 00:00:00,74020012,"EXPANDED COPPER ANODES | CODELCO | ANODES | REFINED COPPER | CODELCO-F99,400% CU, 785,850 G / T AG3,720 G / T AUPENALIZABLE DOES NOT EXIST 0% HUMIDITY",,,CODELCO CHILE,499580,KGS,-,3530594.35,Chile,China,Chongqing,499580,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",500570,,,,Chile T2  Export
490,2020-10-30 00:00:00,74020012,"EXPANDED COPPER ANODES | CODELCO | ANODES | REFINED COPPER | CODELCO-F | PAYABLE 99,560% CU, | 390,400 G / T AG, 9,800G / T AUPENALIZABLE NO 0% HUMIDITY",,,CODELCO CHILE,492876,KGS,-,3510435.68,Chile,China,Chongqing,492876,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",493620,,,,Chile T2  Export
491,2020-07-01 00:00:00,74020019,"COPPER ANODE | SOUTH AMERICAN ANGLO | ANODBME01 | CU 99.66% | AG202.000 GR / MT | AU 1,700 GR / MT, PENALTIES DO NOT EXIST | 0% MOISTURE | 1572990 NET KILO",,,EMPRESA CL202007 004813,1572990,KGS,-,8063645.68,Chile,China,Shanghai,1572990,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1573646,,,,Chile T2  Export
492,2020-05-04 00:00:00,74020012,"SPENT COPPER ANODES | CODELCO | ANODES | 99.550% AU487,900 G / T AG6,520 G / T AU",,,EMPRESA CL202005 003945,680250,KGS,-,4076470.27,Chile,China,Chongqing,680250,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",681006,,,,Chile T2  Export
493,2020-11-23 00:00:00,74020012,"EXPANDED COPPER ANODES | CODELCO | ANODES | REFINED COPPER | CODELCO-F99,500% CU, 442,900 G / T AG9,440G / T AUPENALIZABLE NO 0% HUMIDITY",,,EMPRESA CL202011 009713,747687,KGS,-,5475649.72,Chile,China,China,747687,KGS,-,-,San Antonio,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",748692,,,,Chile T2  Export
494,2020-10-20 00:00:00,74020013,CU 99.412% | AG1001257G / TM | COVER ANODE | AU 5.466 G / TM | HUMIDITY 0.00% | PENALTIES | BI 53.486% | PAYABLE | DOES NOT EXIST,,,XSTRATA COOPER CHILE S A,1500774,KGS,-,11261944.3,Chile,Japan,Kobe,1500774,KGS,-,-,Not Available,-,-,-,-,-,-,-,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",1501324,,,,Chile T2  Export
