,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
0,0.001,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
1,0.002,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
2,0.003,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
3,0.004,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
4,0.005,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
5,0.006,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
6,0.007,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
7,0.008,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
8,0.009000000000000001,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
9,0.01,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
10,0.011,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
11,0.012,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
12,0.013000000000000001,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
13,0.014,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
14,0.015,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
15,0.016,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
16,0.017,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
17,0.018000000000000002,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
18,0.019,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
19,0.02,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
20,0.021,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
21,0.022,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
22,0.023,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
23,0.024,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
24,0.025,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
25,0.026000000000000002,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
26,0.027,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
27,0.028,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
28,0.029,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
29,0.03,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
30,0.031,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
31,0.032,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
32,0.033,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
33,0.034,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
34,0.035,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
35,0.036000000000000004,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
36,0.037,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
37,0.038,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
38,0.039,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
39,0.04,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
40,0.041,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
41,0.042,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
42,0.043000000000000003,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
43,0.044,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
44,0.045,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
45,0.046,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
46,0.047,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
47,0.048,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
48,0.049,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
49,0.05,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
50,0.051000000000000004,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
51,0.052000000000000005,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
52,0.053,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
53,0.054,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
54,0.055,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
55,0.056,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
56,0.057,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
57,0.058,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
58,0.059000000000000004,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
59,0.06,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
60,0.061,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
61,0.062,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
62,0.063,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
63,0.064,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
64,0.065,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
65,0.066,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
66,0.067,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
67,0.068,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
68,0.069,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
69,0.07,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
70,0.07100000000000001,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
71,0.07200000000000001,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
72,0.073,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
73,0.074,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
74,0.075,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
75,0.076,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
76,0.077,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
77,0.078,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
78,0.079,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
79,0.08,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
80,0.081,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
81,0.082,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
82,0.083,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
83,0.084,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
84,0.085,0.17073170731707318,0.6,0.2658227848101266,0,7,0,2
85,0.08600000000000001,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
86,0.08700000000000001,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
87,0.088,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
88,0.089,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
89,0.09,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
90,0.091,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
91,0.092,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
92,0.093,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
93,0.094,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
94,0.095,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
95,0.096,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
96,0.097,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
97,0.098,0.17073170731707318,0.6,0.2658227848101266,6,13,1,2
