,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
0,0.001,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
1,0.002,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
2,0.003,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
3,0.004,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
4,0.005,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
5,0.006,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
6,0.007,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
7,0.008,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
8,0.009000000000000001,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
9,0.01,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
10,0.011,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
11,0.012,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
12,0.013000000000000001,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
13,0.014,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
14,0.015,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
15,0.016,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
16,0.017,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
17,0.018000000000000002,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
18,0.019,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
19,0.02,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
20,0.021,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
21,0.022,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
22,0.023,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
23,0.024,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
24,0.025,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
25,0.026000000000000002,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
26,0.027,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
27,0.028,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
28,0.029,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
29,0.03,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
30,0.031,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
31,0.032,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
32,0.033,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
33,0.034,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
34,0.035,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
35,0.036000000000000004,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
36,0.037,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
37,0.038,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
38,0.039,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
39,0.04,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
40,0.041,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
41,0.042,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
42,0.043000000000000003,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
43,0.044,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
44,0.045,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
45,0.046,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
46,0.047,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
47,0.048,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
48,0.049,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
49,0.05,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
50,0.051000000000000004,0.1589041095890411,1.0,0.27423167848699764,0,336,0,5
51,0.052000000000000005,0.1589041095890411,1.0,0.27423167848699764,29,365,5,5
52,0.053,0.1589041095890411,1.0,0.27423167848699764,29,365,5,5
53,0.054,0.1589041095890411,1.0,0.27423167848699764,29,365,5,5
54,0.055,0.1589041095890411,1.0,0.27423167848699764,29,365,5,5
55,0.056,0.1589041095890411,1.0,0.27423167848699764,29,365,5,5
