Year,AveragePrice
1990,24.144756335282647
2003,29.945511811023607
2007,72.39067729083662
2018,68.3160238568588
2015,50.42285714285716
2023,80.25389361702133
2006,65.60289682539678
2022,98.01878431372552
2013,103.26876984126976
1988,15.437480468750007
1997,19.864379999999986
1994,16.52640873015872
2014,96.12844000000003
2019,60.67619417475726
2004,39.84466666666665
1991,20.789785575048725
1989,18.93598825831703
1996,21.379488188976378
1998,13.586785714285712
2020,40.62976608187138
2012,102.80517928286851
1987,18.93975845410629
2009,61.84460317460325
2016,43.45674509803921
1995,17.719523809523796
2001,25.208875739644974
1992,19.947645914396873
2005,55.593720472440886
2000,29.51447316103382
2010,79.54257936507932
1986,15.0476892430279
2011,103.00703999999993
2008,98.3079249011857
2017,52.48227272727276
1999,18.626159999999988
2002,25.583207920792088
2021,69.53708414872804
1993,17.719980079681267
