,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,100 layers,0.8473684210526315,0.90625,0.9119496855345912,0.9090909090909092,0.5333333333333333,0.5161290322580645,0.5245901639344263
1,RNN,200 units,0.8368421052631579,0.872093023255814,0.9433962264150944,0.9063444108761329,0.5,0.2903225806451613,0.3673469387755102
2,CNN,"128 filters, kernel size 3",0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
3,CNN with Attention,"256 filters, kernel size 5",0.8421052631578947,0.9006211180124224,0.9119496855345912,0.90625,0.5172413793103449,0.4838709677419355,0.5000000000000001
